datetime,timestamp,price,coin_id,vs_currency,market_cap,volume
2024-07-02 20:00:00,1719964800000,0.4844080973302866,ripple,usd,26944245248.106754,738569647.7524897
2024-07-03 20:00:00,1720051200000,0.46683128830149545,ripple,usd,25991163931.716026,1145837102.1507013
2024-07-04 20:00:00,1720137600000,0.4337163650486699,ripple,usd,24235723137.699135,1550106175.3104813
2024-07-05 20:00:00,1720224000000,0.42539142101390903,ripple,usd,23720339809.70215,2249831548.4483404
2024-07-06 20:00:00,1720310400000,0.44887065803633486,ripple,usd,24994023728.318146,712480871.9112093
2024-07-07 20:00:00,1720396800000,0.4191789178572198,ripple,usd,23301649181.377598,693806813.0762736
2024-07-08 20:00:00,1720483200000,0.4314648922749528,ripple,usd,24039488792.0527,1645728119.4983537
2024-07-09 20:00:00,1720569600000,0.4357682635821839,ripple,usd,24300807518.319637,1021161739.4919188
2024-07-10 20:00:00,1720656000000,0.43888320261057695,ripple,usd,24458409688.453136,1023616778.8551557
2024-07-11 20:00:00,1720742400000,0.4493147618408148,ripple,usd,25030432265.972015,1200462273.2058198
2024-07-12 20:00:00,1720828800000,0.47500366588264975,ripple,usd,26468721333.154728,1708143214.6643667
2024-07-13 20:00:00,1720915200000,0.526839519388817,ripple,usd,29438182786.769802,2976186078.858061
2024-07-14 20:00:00,1721001600000,0.5234292029632325,ripple,usd,29217819449.756477,1532407022.6960382
2024-07-15 20:00:00,1721088000000,0.5376616453581448,ripple,usd,29965552583.371784,1792386347.1365612
2024-07-16 20:00:00,1721174400000,0.5787634815013228,ripple,usd,32265300101.95077,3365824592.3680096
2024-07-17 20:00:00,1721260800000,0.6273851564998204,ripple,usd,35102530730.86112,4234665637.2730927
2024-07-18 20:00:00,1721347200000,0.5692287514689783,ripple,usd,31824985472.369778,2788220012.7058287
2024-07-19 20:00:00,1721433600000,0.5741558232605724,ripple,usd,32077743531.21662,2308007332.073333
2024-07-20 20:00:00,1721520000000,0.595029933937848,ripple,usd,33275930800.02671,1439012022.3069396
2024-07-21 20:00:00,1721606400000,0.5980160389473247,ripple,usd,33432090664.344845,1647735329.5763204
2024-07-22 20:00:00,1721692800000,0.6074321975785351,ripple,usd,33924582950.39692,2296442499.7947035
2024-07-23 20:00:00,1721779200000,0.5981912825646556,ripple,usd,33445842125.35873,1651790888.6761835
2024-07-24 20:00:00,1721865600000,0.6185453553161305,ripple,usd,34619548841.39433,2087303622.9724011
2024-07-25 20:00:00,1721952000000,0.5997679317152131,ripple,usd,33551041246.844196,2413626637.836705
2024-07-26 20:00:00,1722038400000,0.6038043973469951,ripple,usd,33785118967.62283,1478705555.166696
2024-07-27 20:00:00,1722124800000,0.5977718576875165,ripple,usd,33461222350.94947,1128339419.425111
2024-07-28 20:00:00,1722211200000,0.6021780816719867,ripple,usd,33692290472.99312,919421006.0982493
2024-07-29 20:00:00,1722297600000,0.6013541874571906,ripple,usd,33693210425.325813,1215789202.844237
2024-07-30 20:00:00,1722384000000,0.627331702923322,ripple,usd,35106027091.88801,2180451702.8585267
2024-07-31 20:00:00,1722470400000,0.6241359484378766,ripple,usd,34922068515.62188,2437342632.355899
2024-08-01 20:00:00,1722556800000,0.5964948653083605,ripple,usd,33435949522.587425,2106574760.7931805
2024-08-02 20:00:00,1722643200000,0.5608211562625613,ripple,usd,31336203534.75014,1950995786.1091292
2024-08-03 20:00:00,1722729600000,0.5561223750845103,ripple,usd,31148787375.519512,1376747027.6518893
2024-08-04 20:00:00,1722816000000,0.523000237013472,ripple,usd,29353786043.34181,1188979704.3459642
2024-08-05 20:00:00,1722902400000,0.4902573980386893,ripple,usd,27429698169.218105,4475639992.2202215
2024-08-06 20:00:00,1722988800000,0.5045865751146787,ripple,usd,28264677754.315056,1847497499.3279817
2024-08-07 20:00:00,1723075200000,0.6047117740731156,ripple,usd,34080056915.591267,4339719896.699449
2024-08-08 20:00:00,1723161600000,0.6180253163116132,ripple,usd,34614498154.478294,3600078089.7499704
2024-08-09 20:00:00,1723248000000,0.58183869938522,ripple,usd,32602368401.949657,2002417284.908657
2024-08-10 20:00:00,1723334400000,0.5859665998030177,ripple,usd,32874309915.441666,1153241846.3211687
2024-08-11 20:00:00,1723420800000,0.5528843062140291,ripple,usd,30977000852.659336,1196340831.0371697
2024-08-12 20:00:00,1723507200000,0.5686121537491582,ripple,usd,31916231098.98676,1679555366.0561242
2024-08-13 20:00:00,1723593600000,0.5764397935244148,ripple,usd,32334146418.002975,1312864400.606913
2024-08-14 20:00:00,1723680000000,0.568488461134045,ripple,usd,31895125288.160538,1198200169.6454227
2024-08-15 20:00:00,1723766400000,0.5611367072808928,ripple,usd,31487109561.59515,1330753520.6637406
2024-08-16 20:00:00,1723852800000,0.5639502515238202,ripple,usd,31653017057.98766,1051389337.7009846
2024-08-17 20:00:00,1723939200000,0.566181906156675,ripple,usd,31773619165.905563,447792270.1153169
